lob|type|subtype|brand|short_description|MRP|list_price|discount|savings|speciality|size|sizePack|description|image_url|Country of Origin
Pantry|Dals & Pulses|Cereals & Millets|Himalayan Natives|Himalayan Natives Quinoa|190.00|161.50|15%|28.50|Vegetarian|450gms|Pouch|Himalayan Natives Quinoa||India

Pantry|Dals & Pulses|Cereals & Millets|Safe Harvest|Safe Harvest Amaranth Seeds - Rajgira|99.00|99.00|||Vegetarian|500gms|Pouch|Safe Harvest Amaranth Seeds - Rajgira||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Peanuts/Mungaphali/Shengdana - Raw|220.00|137.00|38%|83.00|Vegetarian|1kg|Pouch|Anmol Supreme Peanuts/Mungaphali/Shengdana - Raw||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Peanuts/Mungaphali/Shengdana - Raw|110.00|75.00|32%|35.00|Vegetarian|500gms|Pouch|Anmol Supreme Peanuts/Mungaphali/Shengdana - Raw||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Peanuts/Mungaphali/Shengdana - Raw|47.00|31.00|34%|15.00|Vegetarian|200gms|Pouch|Anmol Supreme Peanuts/Mungaphali/Shengdana - Raw||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Moong Dal|200.00|134.00|33%|66.00|Vegetarian|1kg|Pouch|Anmol Supreme Moong Dal||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Moong Dal|100.00|77.00|23%|23.00|Vegetarian|500gms|Pouch|Anmol Supreme Moong Dal||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Green Moong Whole/Sabut|180.00|135.00|25%|45.00|Vegetarian|1kg|Pouch|Anmol Supreme Green Moong Whole/Sabut||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Green Moong Whole/Sabut|90.00|70.00|22%|20.00|Vegetarian|500gms|Pouch|Anmol Supreme Green Moong Whole/Sabut||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Green Moong Split/Chilka|180.00|135.00|25%|45.00|Vegetarian|1kg|Pouch|Anmol Supreme Green Moong Split/Chilka||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Green Moong Split/Chilka|90.00|70.00|22%|20.00|Vegetarian|500gms|Pouch|Anmol Supreme Green Moong Split/Chilka||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Toor/Arhar Dal|800.00|570.00|29%|80.00|Vegetarian|5kg|Pouch|Anmol Supreme Toor/Arhar Dal||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Toor/Arhar Dal|320.00|240.00|25%|80.00|Vegetarian|2kg|Pouch|Anmol Supreme Toor/Arhar Dal||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Toor/Arhar Dal|160.00|123.00|23%|37.00|Vegetarian|1kg|Pouch|Anmol Supreme Toor/Arhar Dal||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Toor/Arhar Dal|80.00|65.00|19%|15.00|Vegetarian|500gms|Pouch|Anmol Supreme Toor/Arhar Dal||India


Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Channa - Kabuli|190.00|120.00|37%|70.00|Vegetarian|1kg|Pouch|Anmol Supreme Channa - Kabuli||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Channa - Kabuli|95.00|63.00|34%|32.00|Vegetarian|500gms|Pouch|Anmol Supreme Channa - Kabuli||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Channa - Green|50.00|36.00|28%|70.00|Vegetarian|200gms|Pouch|Anmol Supreme Channa - Green||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Channa Dal|160.00|105.00|34%|55.00|Vegetarian|1kg|Pouch|Anmol Supreme Channa Dal||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Channa Dal|80.00|56.00|30%|24.00|Vegetarian|500gms|Pouch|Anmol Supreme Channa Dal||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Fried Gram/Bengal Gram|180.00|132.00|27%|48.00|Vegetarian|1kg|Pouch|Anmol Supreme Fried Gram/Bengal Gram||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Fried Gram/Bengal Gram|90.00|68.00|24%|22.00|Vegetarian|500gms|Pouch|Anmol Supreme Fried Gram/Bengal Gram||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Urad Gota - Whole|420.00|336.00|20%|84.00|Vegetarian|2kg|Pouch|Anmol Supreme Urad Gota - Whole||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Urad Gota - Whole|210.00|169.00|20%|41.00|Vegetarian|1kg|Pouch|Anmol Supreme Urad Gota - Whole||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Urad Gota - Whole|105.00|87.00|17%|18.00|Vegetarian|500gms|Pouch|Anmol Supreme Urad Gota - Whole||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Urad Dal - Split|210.00|177.00|16%|33.00|Vegetarian|1kg|Pouch|Anmol Supreme Urad Dal - Split||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Urad Dal - Split|105.00|91.00|13%|14.00|Vegetarian|500gms|Pouch|Anmol Supreme Urad Dal - Split||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Urad - Black, Split/Chilka|90.00|75.00|17%|15.00|Vegetarian|500gms|Pouch|Anmol Supreme Urad - Black, Split/Chilka||India

Pantry|Dals & Pulses||All DalsAnmol|Anmol Supreme Urad - Black, Whole/Sabut|99.00|74.00|18%|15.00|Vegetarian|500gms|Pouch|Anmol Supreme Urad - Black, Whole/Sabut||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Urad - Black, Whole/Sabut|40.00|30.00|25%|10.00|Vegetarian|200gms|Pouch|Anmol Supreme Urad - Black, Whole/Sabut||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Rajma - White/Chitra|200.00|138.00|31%|62.00|Vegetarian|1kg|Pouch|Anmol Supreme Rajma - White/Chitra||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Rajma - White/Chitra|100.00|71.00|29%|29.00|Vegetarian|500gms|Pouch|Anmol Supreme Rajma - White/Chitra||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Rajma - Red|200.00|136.00|32%|64.00|Vegetarian|1kg|Pouch|Anmol Supreme Rajma - Red||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Rajma - Red|100.00|72.00|28%|28.00|Vegetarian|500gms|Pouch|Anmol Supreme Rajma - Red||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Masoor Dal|160.00|105.00|34%|55.00|Vegetarian|1kg|Pouch|Anmol Supreme Masoor Dal||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Masoor Dal|80.00|55.00|31%|25.00|Vegetarian|500gms|Pouch|Anmol Supreme Masoor Dal||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Masoor Black Whole/Sabut|140.00|111.00|21%|29.00|Vegetarian|1kg|Pouch|Anmol Supreme Masoor Black Whole/Sabut||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Masoor Black Whole/Sabut|70.00|58.00|17%|12.00|Vegetarian|500gms|Pouch|Anmol Supreme Masoor Black Whole/Sabut||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Red Masoor Dal Whole|140.00|130.00|10.00|10.00|Vegetarian|1kg|Pouch|Anmol Supreme Red Masoor Dal Whole||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Red Masoor Dal Whole|70.00|66.00|6%|4.00|Vegetarian|500gms|Pouch|Anmol Supreme Red Masoor Dal Whole||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme White Peas/Matar|180.00|155.00|14%|25.00|Vegetarian|1kg|Pouch|Anmol Supreme White Peas/Matar||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme White Peas/Matar|90.00|79.00|12%|11.00|Vegetarian|500gms|Pouch|Anmol Supreme White Peas/Matar||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Peas/Matar - Green|200.00|199.00|1.00|1.00|Vegetarian|1kg|Pouch|Anmol Supreme Peas/Matar - Green||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Peas/Matar - Green|150.00|125.00|25.00|25.00|Vegetarian|500gms|Pouch|Anmol Supreme Peas/Matar - Green||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Popcorn - Seeds|150.00|130.00|13%|19.00|Vegetarian|1kg|Pouch|Anmol Supreme Popcorn - Seeds||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Popcorn - Seeds|75.00|67.00|11%|8.00|Vegetarian|500gms|Pouch|Anmol Supreme Popcorn - Seeds||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Lobia - White|160.00|135.00|16%|25.00|Vegetarian|1kg|Pouch|Anmol Supreme Lobia - White||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Lobia - White|80.00|68.00|15%|12.00|Vegetarian|500gms|Pouch|Anmol Supreme Lobia - White||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Lobia - Red|160.00|130.00|19%|30.00|Vegetarian|1kg|Pouch|Anmol Supreme Lobia - Red||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Lobia - Red|80.00|71.00|11%|30.00|Vegetarian|500gms|Pouch|Anmol Supreme Lobia - Red||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Horse Gram/Kulthi|90.00|45.00|50%|45.00|Vegetarian|500gms|Pouch|Anmol Supreme Horse Gram/Kulthi||India
